Listado de las cotizaciones de compra y de venta

Especie;Precio de compra;Precio de venta;Apertura; Precio Maximo;Precio Minimo
ALUA;65.20;72.00;67.80;67.80;63.00
BBAR;253.00;1400.00;251.10;262.70;247.85
BMA;330.00;359.70;340.00;357.00;335.50
BYMA;843.00;848.00;820.00;850.00;820.00
CEPU;55.40;70.00;55.00;60.00;54.00
COME;4.33;5.40;5.00;5.15;4.92
CRES;98.50;105.00;98.00;99.85;96.80
CVH;409.00;430.00;405.00;414.50;405.00
EDN;54.00;61.50;56.20;61.00;56.20
GGAL;100.00;204.30;189.00;202.00;189.00
HARG;180.00;182.00;182.00;182.00;178.50
LOMA;238.00;274.50;253.40;257.20;252.00
MIRG;2550.00;3248.00;3140.00;3249.00;3115.00
PAMP;105.20;150.00;130.00;132.50;125.50
SUPV;89.55;90.65;85.00;90.00;85.00
TECO2;178.80;260.00;184.00;191.40;184.00
TGNO4;75.00;82.50;78.80;85.80;77.00
TGSU2;184.00;197.00;184.20;195.00;184.20
TRAN;26.10;49.80;46.00;49.00;44.50
TXAR;89.00;102.50;96.20;101.75;96.20
VALO;23.00;26.00;23.60;24.35;23.60
YPFD;1.00;995.00;933.50;973.50;925.00
Trabajo Practico N°2 | Candanedo Camila.
